,S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,S_INFO_LISTBOARDNAME,INDUSTRIESCODE,INDUSTRIESNAME
0,000519.SZ,中兵红箭,19931008,,主板,b10c000000000000,国防军工
1,002690.SZ,美亚光电,20120731,,主板,b10a000000000000,机械
2,000960.SZ,锡业股份,20000221,,主板,b103000000000000,有色金属
3,002233.SZ,塔牌集团,20080516,,主板,b108000000000000,建材
4,600970.SH,中材国际,20050412,,主板,b107000000000000,建筑
5,002221.SZ,东华能源,20080306,,主板,b101000000000000,石油石化
6,600282.SH,南钢股份,20000919,,主板,b105000000000000,钢铁
7,600755.SH,厦门国贸,19961003,,主板,b10e000000000000,商贸零售
8,002249.SZ,大洋电机,20080619,,主板,b10b000000000000,电力设备及新能源
9,600580.SH,卧龙电驱,20020606,,主板,b10b000000000000,电力设备及新能源
10,000636.SZ,风华高科,19961129,,主板,b10p000000000000,电子
11,600056.SH,中国医药,19970515,,主板,b10i000000000000,医药
12,000050.SZ,深天马A,19950315,,主板,b10p000000000000,电子
13,000402.SZ,金融街,19960626,,主板,b10n000000000000,房地产
14,000553.SZ,安道麦A,19931203,,主板,b106000000000000,基础化工
15,000825.SZ,太钢不锈,19981021,,主板,b105000000000000,钢铁
16,000967.SZ,盈峰环境,20000330,,主板,b104000000000000,电力及公用事业
17,001872.SZ,招商港口,19930505,,主板,b10o000000000000,交通运输
18,002203.SZ,海亮股份,20080116,,主板,b103000000000000,有色金属
19,002423.SZ,中粮资本,20100603,,主板,b10u000000000000,综合金融
20,002653.SZ,海思科,20120117,,主板,b10i000000000000,医药
21,002867.SZ,周大生,20170427,,主板,b10e000000000000,商贸零售
22,002925.SZ,盈趣科技,20180115,,主板,b10p000000000000,电子
23,300072.SZ,海新能科,20100427,,创业板,b106000000000000,基础化工
24,300285.SZ,国瓷材料,20120113,,创业板,b106000000000000,基础化工
25,300296.SZ,利亚德,20120315,,创业板,b10p000000000000,电子
26,600256.SH,广汇能源,20000526,,主板,b101000000000000,石油石化
27,600339.SH,中油工程,20001225,,主板,b101000000000000,石油石化
28,600415.SH,小商品城,20020509,,主板,b10e000000000000,商贸零售
29,600446.SH,金证股份,20031224,,主板,b10r000000000000,计算机
30,600704.SH,物产中大,19960606,,主板,b10t000000000000,综合
31,600728.SH,佳都科技,19960716,,主板,b10r000000000000,计算机
32,601228.SH,广州港,20170329,,主板,b10o000000000000,交通运输
33,601598.SH,中国外运,20190118,,主板,b10o000000000000,交通运输
34,601860.SH,紫金银行,20190103,,主板,b10l000000000000,银行
35,603317.SH,天味食品,20190416,,主板,b10j000000000000,食品饮料
36,603379.SH,三美股份,20190402,,主板,b106000000000000,基础化工
37,603858.SH,步长制药,20161118,,主板,b10i000000000000,医药
38,603983.SH,丸美股份,20190725,,主板,b106000000000000,基础化工
39,600500.SH,中化国际,20000301,,主板,b106000000000000,基础化工
40,600026.SH,中远海能,20020523,,主板,b10o000000000000,交通运输
41,600862.SH,中航高科,19940520,,主板,b10c000000000000,国防军工
42,000400.SZ,许继电气,19970418,,主板,b10b000000000000,电力设备及新能源
43,002281.SZ,光迅科技,20090821,,主板,b10q000000000000,通信
44,600380.SH,健康元,20010608,,主板,b10i000000000000,医药
45,300244.SZ,迪安诊断,20110719,,创业板,b10i000000000000,医药
46,002155.SZ,湖南黄金,20070816,,主板,b103000000000000,有色金属
47,000089.SZ,深圳机场,19980420,,主板,b10o000000000000,交通运输
48,000158.SZ,常山北明,20000724,,主板,b10r000000000000,计算机
49,601016.SH,节能风电,20140929,,主板,b10b000000000000,电力设备及新能源
50,600808.SH,马钢股份,19940106,,主板,b105000000000000,钢铁
51,000975.SZ,银泰黄金,20000608,,主板,b103000000000000,有色金属
52,600879.SH,航天电子,19951115,,主板,b10c000000000000,国防军工
53,300115.SZ,长盈精密,20100902,,创业板,b10p000000000000,电子
54,600409.SH,三友化工,20030618,,主板,b106000000000000,基础化工
55,600859.SH,王府井,19940506,,主板,b10e000000000000,商贸零售
56,603883.SH,老百姓,20150423,,主板,b10i000000000000,医药
57,002250.SZ,联化科技,20080619,,主板,b106000000000000,基础化工
58,002266.SZ,浙富控股,20080806,,主板,b10b000000000000,电力设备及新能源
59,000783.SZ,长江证券,19970731,,主板,b10m000000000000,非银行金融
60,000785.SZ,居然之家,19970711,,主板,b10e000000000000,商贸零售
61,000831.SZ,五矿稀土,19980911,,主板,b103000000000000,有色金属
62,001227.SZ,兰州银行,20220117,,主板,b10l000000000000,银行
63,002240.SZ,盛新锂能,20080523,,主板,b103000000000000,有色金属
64,002326.SZ,永太科技,20091222,,主板,b106000000000000,基础化工
65,002407.SZ,多氟多,20100518,,主板,b106000000000000,基础化工
66,002497.SZ,雅化集团,20101109,,主板,b106000000000000,基础化工
67,002624.SZ,完美世界,20111028,,主板,b10s000000000000,传媒
68,002625.SZ,光启技术,20111103,,主板,b10c000000000000,国防军工
69,002756.SZ,永兴材料,20150515,,主板,b105000000000000,钢铁
70,300012.SZ,华测检测,20091030,,创业板,b10a000000000000,机械
71,300073.SZ,当升科技,20100427,,创业板,b106000000000000,基础化工
72,300144.SZ,宋城演艺,20101209,,创业板,b10f000000000000,消费者服务
73,300390.SZ,天华超净,20140731,,创业板,b10p000000000000,电子
74,300558.SZ,贝达药业,20161107,,创业板,b10i000000000000,医药
75,300676.SZ,华大基因,20170714,,创业板,b10i000000000000,医药
76,300677.SZ,英科医疗,20170721,,创业板,b10i000000000000,医药
77,300769.SZ,德方纳米,20190415,,创业板,b106000000000000,基础化工
78,300832.SZ,新产业,20200512,,创业板,b10i000000000000,医药
79,300888.SZ,稳健医疗,20200917,,创业板,b10h000000000000,纺织服装
80,600079.SH,人福医药,19970606,,主板,b10i000000000000,医药
81,600096.SH,云天化,19970709,,主板,b106000000000000,基础化工
82,600109.SH,国金证券,19970807,,主板,b10m000000000000,非银行金融
83,600143.SH,金发科技,20040623,,主板,b106000000000000,基础化工
84,600499.SH,科达制造,20021010,,主板,b104000000000000,电力及公用事业
85,600848.SH,上海临港,19940324,,主板,b10n000000000000,房地产
86,600927.SH,永安期货,20211223,,主板,b10m000000000000,非银行金融
87,601058.SH,赛轮轮胎,20110630,,主板,b106000000000000,基础化工
88,601108.SH,财通证券,20171024,,主板,b10m000000000000,非银行金融
89,601162.SH,天风证券,20181019,,主板,b10m000000000000,非银行金融
90,601607.SH,上海医药,19940324,,主板,b10i000000000000,医药
91,601696.SH,中银证券,20200226,,主板,b10m000000000000,非银行金融
92,601990.SH,南京证券,20180613,,主板,b10m000000000000,非银行金融
93,603026.SH,石大胜华,20150529,,主板,b106000000000000,基础化工
94,603233.SH,大参林,20170731,,主板,b10i000000000000,医药
95,603345.SH,安井食品,20170222,,主板,b10j000000000000,食品饮料
96,603517.SH,绝味食品,20170317,,主板,b10j000000000000,食品饮料
97,603658.SH,安图生物,20160901,,主板,b10i000000000000,医药
98,603939.SH,益丰药房,20150217,,主板,b10i000000000000,医药
99,605117.SH,德业股份,20210420,,主板,b10b000000000000,电力设备及新能源
100,688009.SH,中国通号,20190722,,科创板,b10a000000000000,机械
